loc 	survivors 
6 	100.0
9 	100.0
12 	100.0
15 	100.0
18 	100.0
21 	100.0
24 	100.0
27 	100.0
30 	100.0
33 	100.0
36 	100.0
39 	100.0
42 	100.0
45 	100.0
48 	100.0
51 	100.0
54 	100.0
57 	100.0
60 	100.0
63 	100.0
66 	100.0
69 	100.0
72 	99.98517530205322
75 	99.98517530205322
78 	99.97035060410644
81 	99.97035060410644
84 	99.95552590615966
87 	99.94070120821289
90 	99.94070120821289
93 	99.94070120821289
96 	99.94070120821289
99 	99.9184641612927
102 	99.90363946334594
105 	99.89622711437255
108 	99.89622711437255
111 	99.88881476539916
114 	99.88140241642577
117 	99.88140241642577
120 	99.88140241642577
123 	99.8591653695056
126 	99.84434067155881
129 	99.82951597361203
132 	99.82951597361203
135 	99.80727892669186
138 	99.7850418797717
141 	99.77762953079831
144 	99.76280483285153
147 	99.74056778593136
150 	99.72574308798458
153 	99.7109183900378
156 	99.66644429619747
159 	99.6367949003039
162 	99.61455785338373
165 	99.60714550441034
168 	99.56267141057002
171 	99.54784671262324
174 	99.4959602698095
177 	99.47372322288933
180 	99.39959973315544
183 	99.38477503520866
186 	99.3551256393151
189 	99.32547624342153
192 	99.2810021495812
195 	99.2068786598473
198 	99.15499221703358
201 	99.09569342524645
204 	99.05121933140613
207 	99.00674523756578
210 	98.94003409680528
213 	98.88814765399155
216 	98.82143651323105
219 	98.75472537247053
222 	98.69542658068342
225 	98.61389074197614
228 	98.52494255429546
231 	98.45081906456156
234 	98.41375731969461
237 	98.33222148098733
240 	98.25809799125342
243 	98.15432510562597
246 	98.11726336075903
249 	98.04313987102513
252 	97.95419168334445
255 	97.87265584463717
258 	97.79112000592988
261 	97.72440886516938
264 	97.65028537543547
267 	97.57616188570157
270 	97.4798013490475
273 	97.40567785931363
276 	97.36120376547328
279 	97.28708027573938
282 	97.18330739011193
285 	97.06470980653769
288 	96.97576161885702
291 	96.87198873322956
294 	96.78304054554889
297 	96.64220591505448
300 	96.54584537840041
303 	96.39759839893263
306 	96.30123786227855
309 	96.23452672151805
312 	96.1233414869172
315 	96.01215625231636
318 	95.89355866874213
321 	95.78978578311467
324 	95.73048699132755
327 	95.67118819954044
330 	95.55259061596621
333 	95.42658068341858
336 	95.30798309984434
339 	95.23385961011044
342 	95.18197316729672
345 	95.04113853680232
348 	94.92254095322808
351 	94.78170632273367
354 	94.692758135053
357 	94.60380994737233
360 	94.50744941071825
363 	94.35179008227708
366 	94.21836780075607
369 	94.09235786820844
372 	93.98117263360758
375 	93.90704914387369
378 	93.81068860721963
381 	93.684678674672
384 	93.58831813801794
387 	93.49936995033727
390 	93.34371062189608
393 	93.21770068934846
396 	93.113927803721
399 	93.02497961604033
402 	92.88414498554593
405 	92.7507227040249
408 	92.61730042250389
411 	92.49129048995627
414 	92.36528055740865
417 	92.22444592691423
420 	92.12067304128678
423 	92.00207545771255
426 	91.86865317619154
429 	91.69816914980358
432 	91.56474686828255
435 	91.4683863316285
438 	91.39426284189459
441 	91.22377881550663
444 	91.15706767474613
447 	91.00140834630494
450 	90.86057371581055
453 	90.6752649914758
456 	90.51219331406124
459 	90.40842042843377
462 	90.28982284485953
465 	90.20828700615226
468 	90.04521532873768
471 	89.91920539619005
474 	89.79319546364243
477 	89.65977318212141
480 	89.56341264546734
483 	89.40775331702616
486 	89.25950633755836
489 	89.18538284782448
492 	89.00007412348974
495 	88.82217774812838
498 	88.6739307686606
501 	88.49603439329924
504 	88.35519976280483
507 	88.2291898302572
510 	88.0883551997628
513 	87.94010822029502
516 	87.79186124082722
519 	87.68067600622638
522 	87.52501667778519
525 	87.37676969831739
528 	87.21369802090283
531 	87.04321399451486
534 	86.81343117633979
537 	86.63553480097843
540 	86.5169372174042
543 	86.33904084204285
546 	86.18338151360166
549 	86.0796086279742
552 	85.90171225261285
555 	85.78311466903862
558 	85.57556889778371
561 	85.40508487139574
564 	85.27907493884813
567 	85.0789415165666
570 	84.91586983915202
573 	84.7157364168705
576 	84.54525239048255
579 	84.41183010896152
582 	84.23393373360017
585 	84.04862500926544
588 	83.91520272774441
591 	83.77436809725002
594 	83.58164702394188
597 	83.36668890371358
600 	83.23326662219257
603 	83.070194944778
606 	82.89229856941664
609 	82.73663924097546
612 	82.5661552145875
615 	82.40308353717293
618 	82.26966125565191
621 	82.062115484397
624 	81.86939441108888
627 	81.66926098880735
630 	81.46171521755244
633 	81.32088058705804
636 	81.19487065451041
639 	81.03179897709583
642 	80.83907790378771
645 	80.72789266918686
648 	80.54258394485213
651 	80.38692461641094
654 	80.29056407975688
657 	80.15714179823587
660 	79.94218367800757
663 	79.77911200059299
666 	79.64568971907198
669 	79.45296864576385
672 	79.28989696834927
675 	79.1342376399081
678 	79.00081535838707
681 	78.88963012378622
684 	78.6820843525313
687 	78.48936327922318
690 	78.31887925283523
693 	78.18545697131421
696 	78.00014824697948
699 	77.82966422059151
702 	77.69624193907049
705 	77.53317026165591
708 	77.31821214142762
711 	77.1847898599066
714 	77.0513675783856
717 	76.83640945815729
720 	76.70298717663627
723 	76.52509080127491
726 	76.33236972796679
729 	76.16929805055223
732 	76.00622637313764
735 	75.84315469572307
738 	75.6800830183085
741 	75.50218664294715
744 	75.3317026165592
747 	75.176043288118
750 	75.07227040249055
753 	74.93884812096954
756 	74.73130234971462
759 	74.56823067230005
762 	74.41257134385887
765 	74.2494996664443
768 	74.06419094210955
771 	73.91594396264176
774 	73.7380475872804
777 	73.51567711807871
780 	73.33036839374397
783 	73.18212141427618
786 	72.99681268994144
789 	72.8115039656067
792 	72.65584463716553
795 	72.455711214884
798 	72.30005188644282
801 	72.1592172559484
804 	71.9516714846935
807 	71.78859980727893
810 	71.56622933807724
813 	71.41057000963606
816 	71.32162182195538
819 	71.18819954043435
822 	71.06960195686013
825 	70.9510043732859
828 	70.87688088355199
831 	70.69898450819065
834 	70.5803869246164
837 	70.45437699206879
840 	70.27648061670743
843 	70.12823363723965
846 	69.90586316803795
